fragment_ID,surface.area.cm2
POC-162-25,144.296
POC-165-25,78.128
POC-167-25,47.801
POC-178-25,97.427
BLK-8-25,28.502
POC-167-22,72.614
POC-165-25,75.371
BLK-7-22,39.53
POC-178-22,94.67
POC-162-22,67.1
POC-167-30,67.1
POC-165-30,80.885
POC-162-30,53.315
POC-178-30,94.67
BLK-10-30,34.016
POC-167-28,50.558
POC-165-28,47.801
BLK-9-28,39.53
POC-162-28,94.67
POC-178-28,75.371
POC-167-36,108.455
POC-165-36,72.614
POC-162-36,80.885
POC-178-36,169.109
BLK-12-36,34.016
POC-167-32,56.072
POC-165-32,108.455
BLK-11-32,39.53
POC-162-32,94.67
POC-178-32,94.67
POC-157-30,80.885
POC-156-30,53.315
POC-168-30,102.941
POC-169-30,58.829
BLK-13-30,20.231
POC-157-28,61.586
POC-156-28,56.072
POC-168-28,72.614
POC-169-28,67.1
BLK-14-28,25.745
POC-157-36,67.1
POC-156-36,39.53
POC-168-36,56.072
POC-169-36,80.885
BLK-15-36,25.745
POC-157-32,80.885
POC-156-32,53.315
POC-168-32,80.885
POC-169-32,39.53
BLK-16-32,28.502
POC-157-25,102.941
POC-156-25,45.044
POC-168-25,47.801
POC-169-25,53.315
BLK-18-25,11.96
POC-157-22,50.558
POC-156-22,75.371
POC-168-22,69.857
POC-169-22,102.941
BLK-17-22,34.016
POC-150-25,83.642
POC-183-25,31.259
POC-181-25,39.53
POC-179-25,69.857
BLK-19-25,11.96
POC-150-22,42.287
POC-183-22,45.044
POC-181-22,97.427
POC-179-22,53.315
BLK-20-22,11.96
POC-150-30,80.885
POC-183-30,47.801
POC-181-30,56.072
POC-179-30,56.072
BLK-21-30,20.231
POC-150-28,91.913
POC-183-28,56.072
POC-181-28,47.801
POC-179-28,42.287
BLK-22-28,25.745
POC-150-36,67.1
POC-183-36,25.745
POC-181-36,45.044
POC-179-36,45.044
BLK-23-36,20.231
POC-150-32,191.165
POC-183-32,80.885
POC-181-32,83.642
POC-179-32,91.913
BLK-24-32,31.259
POC-175-22,36.773
POC-174-22,39.53
POC-154-22,56.072
POC-159-22,69.857
BLK-25-22,11.96
POC-175-25,45.044
POC-174-25,56.072
POC-154-25,58.829
POC-159-25,69.857
BLK-26-25,14.717
POC-175-30,67.1
POC-174-30,67.1
POC-154-30,47.801
POC-159-30,50.558
BLK-27-30,11.96
POC-175-28,56.072
POC-174-28,50.558
POC-154-28,53.315
POC-159-28,75.371
BLK-28-28,6.446
POC-175-32,80.885
POC-174-32,42.287
POC-154-32,36.773
POC-159-32,72.614
BLK-29-32,11.96
POC-175-36,67.1
POC-174-36,56.072
POC-154-36,67.1
POC-159-36,273.875
BLK-30-36,11.96
