fragment_ID,Timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted
POC-149,May,4,121,130,90,99,111,128,NA,NA,NA,Janya,NA
POC-150,May,1,119,124,104,115,122,108,NA,NA,NA,Janya,NA
POC-151,May,4,51,37,41,35,42,50,43,49,NA,Janya,NA
POC-152,May,2,124,144,117,136,119,121,NA,NA,NA,Janya,NA
POC-154,May,2,125,137,146,119,134,116,NA,NA,NA,Janya,NA
POC-155,May,3,122,118,110,108,124,115,NA,NA,NA,Janya,NA
POC-156,May,2,104,100,87,92,106,89,NA,NA,NA,Janya,NA
POC-157,May,2,142,132,119,124,139,136,NA,NA,NA,Janya,NA
POC-159,May,2,172,164,163,157,180,191,NA,NA,NA,Janya,NA
POC-163,May,1,128,132,114,113,140,135,NA,NA,NA,Janya,NA
POC-161,May,1,125,111,97,109,116,95,NA,NA,NA,Janya,NA
POC-162,May,2,148,122,140,151,118,134,NA,NA,NA,Janya,NA
POC-164,May,4,136,150,131,147,143,155,NA,NA,NA,Janya,NA
POC-165,May,2,118,142,105,130,123,128,NA,NA,NA,Janya,NA
POC-166,May,2,136,125,111,128,107,133,NA,NA,NA,Janya,NA
POC-167,May,2,128,139,138,169,126,138,140,NA,NA,Janya,NA
POC-168,May,2,186,204,177,182,176,178,NA,NA,NA,Janya,NA
POC-169,May,2,139,141,137,132,128,130,NA,NA,NA,Janya,NA
POC-170,May,2,175,179,161,189,166,172,NA,NA,NA,Janya,NA
POC-171,May,1,116,98,103,100,119,120,NA,NA,NA,Janya,NA
POC-172,May,1,118,112,141,124,109,135,NA,NA,NA,Janya,NA
POC-173,May,2,127,152,130,144,143,129,NA,NA,NA,Janya,NA
POC-174,May,1,124,107,111,103,122,119,NA,NA,NA,Janya,NA
POC-175,May,2,146,147,145,151,140,152,NA,NA,NA,Janya,NA
POC-177,May,2,174,188,178,180,185,183,NA,NA,NA,Janya,NA
POC-178,May,2,138,118,120,105,123,110,NA,NA,NA,Janya,NA
POC-179,May,4,126,119,124,120,110,113,NA,NA,NA,Janya,NA
POC-180,May,3,133,135,134,116,109,109,NA,NA,NA,Janya,NA
POC-181,May,2,118,100,121,124,110,91,106,NA,NA,Janya,NA
POC-182,May,2,144,138,130,146,139,151,NA,NA,NA,Janya,NA
POC-183,May,2,179,153,167,154,175,172,NA,NA,NA,Janya,NA
POC-184,May,2,122,160,120,119,137,148,136,129,NA,Janya,NA
