Well,abs562
A1,1.924
B1,1.807
C1,1.37
D1,1.4
E1,NA
F1,NA
G1,NA
H1,NA
A2,1.557
B2,1.507
C2,1.128
D2,1.332
E2,NA
F2,NA
G2,NA
H2,NA
A3,1.046
B3,0.931
C3,1.298
D3,1.402
E3,NA
F3,NA
G3,NA
H3,NA
A4,0.799
B4,0.814
C4,0.595
D4,0.578
E4,NA
F4,NA
G4,NA
H4,NA
A5,0.623
B5,0.636
C5,1.179
D5,1.122
E5,NA
F5,NA
G5,NA
H5,NA
A6,0.37
B6,0.356
C6,1.1
D6,1.388
E6,NA
F6,NA
G6,NA
H6,NA
A7,0.226
B7,0.235
C7,1.336
D7,1.41
E7,NA
F7,NA
G7,NA
H7,NA
A8,0.104
B8,0.103
C8,1.081
D8,1.036
E8,NA
F8,NA
G8,NA
H8,NA
A9,0.082
B9,0.084
C9,0.991
D9,1.077
E9,NA
F9,NA
G9,NA
H9,NA
A10,1.364
B10,1.533
C10,2.036
D10,1.339
E10,NA
F10,NA
G10,NA
H10,NA
A11,0.665
B11,0.774
C11,1.179
D11,1.252
E11,NA
F11,NA
G11,NA
H11,NA
A12,0.69
B12,0.759
C12,1.181
D12,1.072
E12,NA
F12,NA
G12,NA
H12,NA
