ID,Timepoint.x,Morphology,chla.ug.cm2,chlc2.ug.cm2
POC-149May,May,meandrina,1.6417552239597781,0.46994542289724434
POC-150May,May,grandis,4.895107734517215,1.354742065076821
POC-151May,May,grandis,1.23764317476526,0.4404042543711132
POC-152May,May,meandrina,3.477601568522631,0.9977390293388837
POC-154May,May,verrucosa,1.846494520901278,0.6104875129623244
POC-155May,May,verrucosa,2.5190169929221593,0.7467955241011247
POC-156May,May,grandis,4.54577575117646,1.7246784621174038
POC-157May,May,meandrina,6.203077190579539,1.494761150226094
POC-159May,May,grandis,6.168393900687955,2.2622635813207044
POC-161May,May,meandrina,4.423781780114939,1.2864150886206243
POC-162May,May,meandrina,1.9194888997233515,0.7383551891876141
POC-163May,May,grandis,5.7166996476082375,1.4388071058997853
POC-164May,May,meandrina,1.7903055132099817,0.5633576041905528
POC-165May,May,grandis,3.9408905705207706,1.194274998527611
POC-166May,May,verrucosa,3.074400092343849,0.9632749932434966
POC-167May,May,grandis,6.115589597220534,1.583565488937721
POC-168May,May,grandis,5.870826679308663,1.6300031949416283
POC-169May,May,meandrina,2.7942606525276057,0.726445835344348
POC-170May,May,grandis,2.6729737492531505,0.7482389724538496
POC-171May,May,grandis,4.931669890507468,1.565072507189199
POC-172May,May,grandis,5.48968056857914,1.6843612493565827
POC-173May,May,verrucosa,1.9773962132571987,0.6071038999829642
POC-174May,May,meandrina,4.619937145996466,1.264193253444658
POC-175May,May,verrucosa,2.3871847339177377,0.6478130636701944
POC-177May,May,verrucosa,2.758791334430539,0.9880863530554428
POC-178May,May,grandis,4.351448886747942,1.4512110439469004
POC-179May,May,verrucosa,2.071163664627857,0.8029591757908665
POC-180May,May,meandrina,5.549254835297453,1.7330858344449949
POC-181May,May,verrucosa,1.3924883972137387,0.7116374871062962
POC-182May,May,verrucosa,2.232137732822719,1.0746101418046967
POC-183May,May,verrucosa,4.171533709645647,1.192458220189734
POC-184May,May,verrucosa,1.8244681161192438,0.9504147854901102
POC-150Dec,Dec,grandis,2.841790069145866,0.7396198336491393
POC-154Dec,Dec,verrucosa,3.6401569905695763,1.0101521742560742
POC-156Dec,Dec,grandis,3.9448045978873942,1.0261035845295188
POC-157Dec,Dec,meandrina,3.9202583472337413,0.9129187705917222
POC-162Dec,Dec,meandrina,1.580157808262062,0.4318395768336631
POC-165Dec,Dec,grandis,2.2001749174784795,0.5024189901211928
POC-167Dec,Dec,grandis,1.4441284626076758,0.49923934517052937
POC-168Dec,Dec,grandis,1.6358198510731312,0.31598756426365215
POC-169Dec,Dec,meandrina,2.860551487889559,0.5886409954301488
POC-174Dec,Dec,meandrina,1.3695852419226833,0.3195559109582081
POC-175Dec,Dec,verrucosa,1.3723485608479289,0.31221428573997295
POC-178Dec,Dec,grandis,3.832768478147926,1.2263624389034562
POC-179Dec,Dec,verrucosa,2.560045266916292,0.7458852437437277
POC-181Dec,Dec,verrucosa,1.1181837927874119,0.2915274056959679
POC-178.2Dec,Dec,grandis,5.75830270044239,1.9863135707565764
